sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path,group_id,season,train_size,split,split_seed,split_strategy,split_version
11,0,Ip_1track_1_arc_345,G3_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\Ip_1track_1_arc_345\events_topk.csv,1449,48307,1449,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\Ip_1track_1_arc_345\stress_residual.csv,3,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
12,0,Ip_1track_1_arc_345,G3_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\Ip_1track_1_arc_345\events_topk.csv,1577,52553,1577,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\Ip_1track_1_arc_345\stress_residual.csv,3,W,L,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
13,0,Ip_1track_1_arc_345,G4_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\Ip_1track_1_arc_345\events_topk.csv,1148,38271,1148,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\Ip_1track_1_arc_345\stress_residual.csv,4,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
14,0,Ip_1track_1_arc_345,G4_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\Ip_1track_1_arc_345\events_topk.csv,1208,40271,1208,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\Ip_1track_1_arc_345\stress_residual.csv,4,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
15,0,Ip_1track_1_arc_345,G4_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\Ip_1track_1_arc_345\events_topk.csv,1145,38174,1145,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\Ip_1track_1_arc_345\stress_residual.csv,4,W,H,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
16,0,Ip_1track_1_arc_345,G4_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\Ip_1track_1_arc_345\events_topk.csv,1190,39658,1190,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\Ip_1track_1_arc_345\stress_residual.csv,4,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
17,1,ip_1and3line_3_arc_78910,G1_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_1and3line_3_arc_78910\events_topk.csv,3011,100361,3011,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,1,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
18,1,ip_1and3line_3_arc_78910,G1_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3158,105250,3158,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,1,S,L,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
19,1,ip_1and3line_3_arc_78910,G1_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2942,98058,2942,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,1,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
20,1,ip_1and3line_3_arc_78910,G1_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3074,102454,3074,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,1,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
21,1,ip_1and3line_3_arc_78910,G2_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_1and3line_3_arc_78910\events_topk.csv,3066,102213,3066,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,2,S,H,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
22,1,ip_1and3line_3_arc_78910,G2_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3202,106746,3202,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,2,S,L,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
23,1,ip_1and3line_3_arc_78910,G2_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2989,99636,2989,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,2,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
24,1,ip_1and3line_3_arc_78910,G2_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3082,102737,3082,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,2,W,L,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
25,1,ip_1and3line_3_arc_78910,G3_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_1and3line_3_arc_78910\events_topk.csv,2158,71947,2158,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,3,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
26,1,ip_1and3line_3_arc_78910,G3_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3146,104878,3146,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,3,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
27,1,ip_1and3line_3_arc_78910,G3_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2869,95632,2869,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,3,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
28,1,ip_1and3line_3_arc_78910,G3_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3072,102401,3072,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,3,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
29,1,ip_1and3line_3_arc_78910,G4_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_1and3line_3_arc_78910\events_topk.csv,2218,73938,2218,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,4,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
30,1,ip_1and3line_3_arc_78910,G4_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_1and3line_3_arc_78910\events_topk.csv,2276,75857,2276,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,4,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
31,1,ip_1and3line_3_arc_78910,G4_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2140,71325,2140,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,4,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
32,1,ip_1and3line_3_arc_78910,G4_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_1and3line_3_arc_78910\events_topk.csv,2230,74337,2230,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,4,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
33,2,ip_2_arc_all_tracks_222,G1_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_2_arc_all_tracks_222\events_topk.csv,1270,42350,1270,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,1,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
34,2,ip_2_arc_all_tracks_222,G1_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_2_arc_all_tracks_222\events_topk.csv,1195,39833,1195,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,1,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
35,2,ip_2_arc_all_tracks_222,G1_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_2_arc_all_tracks_222\events_topk.csv,1307,43583,1307,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,1,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
36,2,ip_2_arc_all_tracks_222,G1_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_2_arc_all_tracks_222\events_topk.csv,1269,42307,1269,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,1,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
37,2,ip_2_arc_all_tracks_222,G2_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_2_arc_all_tracks_222\events_topk.csv,1089,36297,1089,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,2,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
38,2,ip_2_arc_all_tracks_222,G2_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_2_arc_all_tracks_222\events_topk.csv,1105,36845,1105,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,2,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
39,2,ip_2_arc_all_tracks_222,G2_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_2_arc_all_tracks_222\events_topk.csv,1366,45540,1366,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,2,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
40,2,ip_2_arc_all_tracks_222,G2_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_2_arc_all_tracks_222\events_topk.csv,1366,45547,1366,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,2,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
41,2,ip_2_arc_all_tracks_222,G3_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_2_arc_all_tracks_222\events_topk.csv,1000,18932,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,3,S,H,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
42,2,ip_2_arc_all_tracks_222,G3_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_2_arc_all_tracks_222\events_topk.csv,1000,27928,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,3,S,L,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
43,2,ip_2_arc_all_tracks_222,G3_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_H\ip_2_arc_all_tracks_222\events_topk.csv,1000,29258,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,3,W,H,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
44,2,ip_2_arc_all_tracks_222,G3_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_W_L\ip_2_arc_all_tracks_222\events_topk.csv,1000,31039,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,3,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
45,2,ip_2_arc_all_tracks_222,G4_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_H\ip_2_arc_all_tracks_222\events_topk.csv,6399,213300,6399,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,4,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
46,2,ip_2_arc_all_tracks_222,G4_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_S_L\ip_2_arc_all_tracks_222\events_topk.csv,6243,208104,6243,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,4,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
47,2,ip_2_arc_all_tracks_222,G4_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_H\ip_2_arc_all_tracks_222\events_topk.csv,6500,216657,6500,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,4,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
48,2,ip_2_arc_all_tracks_222,G4_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G4_W_L\ip_2_arc_all_tracks_222\events_topk.csv,6413,213777,6413,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,4,W,L,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
49,3,ip_3track_1_arc_678,G1_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_H\ip_3track_1_arc_678\events_topk.csv,2080,69321,2080,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_3track_1_arc_678\stress_residual.csv,1,S,H,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
50,3,ip_3track_1_arc_678,G1_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_S_L\ip_3track_1_arc_678\events_topk.csv,2223,74091,2223,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_3track_1_arc_678\stress_residual.csv,1,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
51,3,ip_3track_1_arc_678,G1_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_H\ip_3track_1_arc_678\events_topk.csv,1996,66546,1996,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_3track_1_arc_678\stress_residual.csv,1,W,H,val,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
52,3,ip_3track_1_arc_678,G1_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G1_W_L\ip_3track_1_arc_678\events_topk.csv,2177,72552,2177,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_3track_1_arc_678\stress_residual.csv,1,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
53,3,ip_3track_1_arc_678,G2_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_H\ip_3track_1_arc_678\events_topk.csv,2096,69872,2096,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_3track_1_arc_678\stress_residual.csv,2,S,H,test,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
54,3,ip_3track_1_arc_678,G2_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_S_L\ip_3track_1_arc_678\events_topk.csv,2274,75811,2274,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_3track_1_arc_678\stress_residual.csv,2,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
55,3,ip_3track_1_arc_678,G2_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_H\ip_3track_1_arc_678\events_topk.csv,2027,67574,2027,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_3track_1_arc_678\stress_residual.csv,2,W,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
56,3,ip_3track_1_arc_678,G2_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G2_W_L\ip_3track_1_arc_678\events_topk.csv,2139,71309,2139,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_3track_1_arc_678\stress_residual.csv,2,W,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
57,3,ip_3track_1_arc_678,G3_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_H\ip_3track_1_arc_678\events_topk.csv,1286,42869,1286,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_3track_1_arc_678\stress_residual.csv,3,S,H,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
58,3,ip_3track_1_arc_678,G3_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\events_equivstress\G3_S_L\ip_3track_1_arc_678\events_topk.csv,2223,74090,2223,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_3track_1_arc_678\stress_residual.csv,3,S,L,train,30,balanced_regime_search_1000cands_12_2_2,v2_balanced
