sample_id,label_id,label_name,regime_key,case_name,events_csv_path,n_events_written,n_candidates,k,tau_rel,tau_abs,p,kmin,kmax,residual_csv_path
11,0,Ip_1track_1_arc_345,G3_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_H\Ip_1track_1_arc_345\events_topk.csv,1443,48101,1443,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_H\Ip_1track_1_arc_345\stress_residual.csv
12,0,Ip_1track_1_arc_345,G3_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_L\Ip_1track_1_arc_345\events_topk.csv,1573,52431,1573,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_L\Ip_1track_1_arc_345\stress_residual.csv
13,0,Ip_1track_1_arc_345,G4_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_H\Ip_1track_1_arc_345\events_topk.csv,1784,59455,1784,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_H\Ip_1track_1_arc_345\stress_residual.csv
14,0,Ip_1track_1_arc_345,G4_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_L\Ip_1track_1_arc_345\events_topk.csv,1815,60498,1815,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_L\Ip_1track_1_arc_345\stress_residual.csv
15,0,Ip_1track_1_arc_345,G4_W_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_H\Ip_1track_1_arc_345\events_topk.csv,1643,54780,1643,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_H\Ip_1track_1_arc_345\stress_residual.csv
16,0,Ip_1track_1_arc_345,G4_W_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_L\Ip_1track_1_arc_345\events_topk.csv,1726,57525,1726,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_L\Ip_1track_1_arc_345\stress_residual.csv
17,1,ip_1and3line_3_arc_78910,G1_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_1and3line_3_arc_78910\events_topk.csv,3007,100226,3007,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_1and3line_3_arc_78910\stress_residual.csv
18,1,ip_1and3line_3_arc_78910,G1_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3157,105240,3157,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_1and3line_3_arc_78910\stress_residual.csv
19,1,ip_1and3line_3_arc_78910,G1_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2940,97991,2940,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_1and3line_3_arc_78910\stress_residual.csv
20,1,ip_1and3line_3_arc_78910,G1_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3067,102228,3067,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_1and3line_3_arc_78910\stress_residual.csv
21,1,ip_1and3line_3_arc_78910,G2_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\ip_1and3line_3_arc_78910\events_topk.csv,3059,101960,3059,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\ip_1and3line_3_arc_78910\stress_residual.csv
22,1,ip_1and3line_3_arc_78910,G2_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3200,106680,3200,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_L\ip_1and3line_3_arc_78910\stress_residual.csv
23,1,ip_1and3line_3_arc_78910,G2_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2989,99635,2989,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_1and3line_3_arc_78910\stress_residual.csv
24,1,ip_1and3line_3_arc_78910,G2_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3075,102510,3075,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_1and3line_3_arc_78910\stress_residual.csv
25,1,ip_1and3line_3_arc_78910,G3_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_1and3line_3_arc_78910\events_topk.csv,2145,71489,2145,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_1and3line_3_arc_78910\stress_residual.csv
26,1,ip_1and3line_3_arc_78910,G3_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3140,104657,3140,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_1and3line_3_arc_78910\stress_residual.csv
27,1,ip_1and3line_3_arc_78910,G3_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2864,95452,2864,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_H\ip_1and3line_3_arc_78910\stress_residual.csv
28,1,ip_1and3line_3_arc_78910,G3_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3069,102296,3069,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_L\ip_1and3line_3_arc_78910\stress_residual.csv
29,1,ip_1and3line_3_arc_78910,G4_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_H\ip_1and3line_3_arc_78910\events_topk.csv,3145,104821,3145,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_H\ip_1and3line_3_arc_78910\stress_residual.csv
30,1,ip_1and3line_3_arc_78910,G4_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_L\ip_1and3line_3_arc_78910\events_topk.csv,3193,106442,3193,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_L\ip_1and3line_3_arc_78910\stress_residual.csv
31,1,ip_1and3line_3_arc_78910,G4_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_H\ip_1and3line_3_arc_78910\events_topk.csv,2959,98649,2959,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_H\ip_1and3line_3_arc_78910\stress_residual.csv
32,1,ip_1and3line_3_arc_78910,G4_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_L\ip_1and3line_3_arc_78910\events_topk.csv,3064,102131,3064,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_L\ip_1and3line_3_arc_78910\stress_residual.csv
33,2,ip_2_arc_all_tracks_222,G1_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_2_arc_all_tracks_222\events_topk.csv,1265,42164,1265,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_2_arc_all_tracks_222\stress_residual.csv
34,2,ip_2_arc_all_tracks_222,G1_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_2_arc_all_tracks_222\events_topk.csv,1195,39820,1195,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_2_arc_all_tracks_222\stress_residual.csv
35,2,ip_2_arc_all_tracks_222,G1_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_2_arc_all_tracks_222\events_topk.csv,1306,43525,1306,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_2_arc_all_tracks_222\stress_residual.csv
36,2,ip_2_arc_all_tracks_222,G1_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_2_arc_all_tracks_222\events_topk.csv,1262,42055,1262,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_2_arc_all_tracks_222\stress_residual.csv
37,2,ip_2_arc_all_tracks_222,G2_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\ip_2_arc_all_tracks_222\events_topk.csv,1078,35938,1078,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\ip_2_arc_all_tracks_222\stress_residual.csv
38,2,ip_2_arc_all_tracks_222,G2_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_L\ip_2_arc_all_tracks_222\events_topk.csv,1103,36781,1103,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_L\ip_2_arc_all_tracks_222\stress_residual.csv
39,2,ip_2_arc_all_tracks_222,G2_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_2_arc_all_tracks_222\events_topk.csv,1366,45537,1366,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_2_arc_all_tracks_222\stress_residual.csv
40,2,ip_2_arc_all_tracks_222,G2_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_2_arc_all_tracks_222\events_topk.csv,1359,45293,1359,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_2_arc_all_tracks_222\stress_residual.csv
41,2,ip_2_arc_all_tracks_222,G3_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_2_arc_all_tracks_222\events_topk.csv,1000,18679,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_2_arc_all_tracks_222\stress_residual.csv
42,2,ip_2_arc_all_tracks_222,G3_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_2_arc_all_tracks_222\events_topk.csv,1000,27625,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_2_arc_all_tracks_222\stress_residual.csv
43,2,ip_2_arc_all_tracks_222,G3_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_H\ip_2_arc_all_tracks_222\events_topk.csv,1000,29014,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_H\ip_2_arc_all_tracks_222\stress_residual.csv
44,2,ip_2_arc_all_tracks_222,G3_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_L\ip_2_arc_all_tracks_222\events_topk.csv,1000,30887,1000,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_L\ip_2_arc_all_tracks_222\stress_residual.csv
45,3,ip_3track_1_arc_678,G1_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_H\ip_3track_1_arc_678\events_topk.csv,2075,69164,2075,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_H\ip_3track_1_arc_678\stress_residual.csv
46,3,ip_3track_1_arc_678,G1_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_S_L\ip_3track_1_arc_678\events_topk.csv,2222,74068,2222,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_S_L\ip_3track_1_arc_678\stress_residual.csv
47,3,ip_3track_1_arc_678,G1_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_H\ip_3track_1_arc_678\events_topk.csv,1993,66449,1993,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_H\ip_3track_1_arc_678\stress_residual.csv
48,3,ip_3track_1_arc_678,G1_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G1_W_L\ip_3track_1_arc_678\events_topk.csv,2168,72270,2168,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G1_W_L\ip_3track_1_arc_678\stress_residual.csv
49,3,ip_3track_1_arc_678,G2_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_H\ip_3track_1_arc_678\events_topk.csv,2085,69509,2085,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_H\ip_3track_1_arc_678\stress_residual.csv
50,3,ip_3track_1_arc_678,G2_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_S_L\ip_3track_1_arc_678\events_topk.csv,2272,75734,2272,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_S_L\ip_3track_1_arc_678\stress_residual.csv
51,3,ip_3track_1_arc_678,G2_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_H\ip_3track_1_arc_678\events_topk.csv,2027,67574,2027,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_H\ip_3track_1_arc_678\stress_residual.csv
52,3,ip_3track_1_arc_678,G2_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G2_W_L\ip_3track_1_arc_678\events_topk.csv,2131,71031,2131,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G2_W_L\ip_3track_1_arc_678\stress_residual.csv
53,3,ip_3track_1_arc_678,G3_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_3track_1_arc_678\events_topk.csv,1275,42484,1275,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_3track_1_arc_678\stress_residual.csv
54,3,ip_3track_1_arc_678,G3_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_3track_1_arc_678\events_topk.csv,2211,73696,2211,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_3track_1_arc_678\stress_residual.csv
55,3,ip_3track_1_arc_678,G3_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_H\ip_3track_1_arc_678\events_topk.csv,1954,65125,1954,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_H\ip_3track_1_arc_678\stress_residual.csv
56,3,ip_3track_1_arc_678,G3_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_W_L\ip_3track_1_arc_678\events_topk.csv,2166,72190,2166,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_W_L\ip_3track_1_arc_678\stress_residual.csv
57,3,ip_3track_1_arc_678,G4_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_H\ip_3track_1_arc_678\events_topk.csv,2338,77943,2338,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_H\ip_3track_1_arc_678\stress_residual.csv
58,3,ip_3track_1_arc_678,G4_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_S_L\ip_3track_1_arc_678\events_topk.csv,2401,80040,2401,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_S_L\ip_3track_1_arc_678\stress_residual.csv
59,3,ip_3track_1_arc_678,G4_W_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_H\ip_3track_1_arc_678\events_topk.csv,2184,72811,2184,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_H\ip_3track_1_arc_678\stress_residual.csv
60,3,ip_3track_1_arc_678,G4_W_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G4_W_L\ip_3track_1_arc_678\events_topk.csv,2276,75876,2276,3.0,0.0,0.03,1000,10000,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G4_W_L\ip_3track_1_arc_678\stress_residual.csv
